OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,slug,water_name,water
"108",{6647407A-126E-4943-8BE0-CEC075C42C99},2009/03/25,Kanton,CH14000000,298.189999999999998,Schaffhausen,CH,"83107",rhein_hemishofen_stolll,Rhein,r
"111",{61EE05EA-8D10-4019-96EB-D0EF1EEEC741},2014/02/07,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",schiffenensee_duedingen_hirschij,Schiffenensee,l
"111",{61EE05EA-8D10-4019-96EB-D0EF1EEEC741},2014/02/07,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",sense_torishaus_g-cubes,Sense,r
"112",{63F845AF-517F-4B33-BAC3-823A10D33250},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",,,
"113",{0C76C9FF-1105-452C-B94F-2125CFD73180},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",,,
"114",{E62FC5F9-247B-40D6-B218-73FAFA77BE9A},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",nouvelle-plage,Neuenburgersee,l
"114",{E62FC5F9-247B-40D6-B218-73FAFA77BE9A},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",plage-de-cheyres,Neuenburgersee,l
"114",{E62FC5F9-247B-40D6-B218-73FAFA77BE9A},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",ruisseau-de-la-croix-plage,Neuenburgersee,l
"115",{37A1263C-A0D8-446C-83E3-78A8D76D4718},2009/03/25,Kanton,CH10000000,1671.150000000000091,Fribourg,CH,"325547",,,
"116",{120D6732-2A5F-4DB5-A1C1-217AED199A49},2009/03/25,Kanton,CH03000000,1493.539999999999964,Luzern,CH,"416347",reuss_stkarli_linigersimhofy,Reuss,r
"116",{120D6732-2A5F-4DB5-A1C1-217AED199A49},2009/03/25,Kanton,CH03000000,1493.539999999999964,Luzern,CH,"416347",sempachersee_sempach_tampec,Sempachsee,l
"116",{120D6732-2A5F-4DB5-A1C1-217AED199A49},2009/03/25,Kanton,CH03000000,1493.539999999999964,Luzern,CH,"416347",vierwaldstattersee_weggis_schoberls_1,Vierwaldstättersee,l
"116",{120D6732-2A5F-4DB5-A1C1-217AED199A49},2009/03/25,Kanton,CH03000000,1493.539999999999964,Luzern,CH,"416347",vierwaldstattersee_weggis_schoberls_2,Vierwaldstättersee,l
