slug,magnitude,hex minus,use,scaled,binned
greifensee_fallanden_meistery,1628111,3581230,undefined,0.45462341150945346,10.0
greifensee_fallanden_meistery,56307,3581230,infrastructure,0.01572281031935955,1.0
greifensee_fallanden_meistery,27005,3581230,recreation,0.0075407052884064974,1.0
greifensee_fallanden_meistery,56875,0,Strasse,0.26485429651520886,6.0
greifensee_fallanden_meistery,15,0,length,0.0,0.0
greifensee_fallanden_meistery,0,0,Stadtzentr,0.0,0.0
greifensee_fallanden_meistery,0,0,Reben,0.0,0.0
greifensee_fallanden_meistery,0,0,Obstanlage,0.0,0.0
greifensee_fallanden_simmenc,1449,0,dist,0.9679358717434869,20.0
greifensee_fallanden_simmenc,659621,3488856,Siedl,0.18906512621902424,4.0
greifensee_fallanden_simmenc,1068770,3488856,Wald,0.3063382380929451,7.0
greifensee_fallanden_simmenc,1675577,3488856,undefined,0.4802654509099831,10.0
greifensee_fallanden_simmenc,45663,3488856,infrastructure,0.013088244398737008,1.0
greifensee_fallanden_simmenc,27005,3488856,recreation,0.007740359590650918,1.0
greifensee_fallanden_simmenc,53081,0,Strasse,0.24341551345150847,5.0
greifensee_fallanden_simmenc,0,0,Stadtzentr,0.0,0.0
greifensee_fallanden_simmenc,0,0,Reben,0.0,0.0
greifensee_fallanden_simmenc,0,0,Obstanlage,0.0,0.0
greifensee_fallanden_simmenc,0,0,length,0.0,0.0
greifensee_maur_simmenc,1058,0,dist,0.706746826987308,15.0
greifensee_maur_simmenc,80245,3345802,Obstanlage,0.023983786249156404,1.0
greifensee_maur_simmenc,207919,3345802,Siedl,0.062143246970382586,2.0
greifensee_maur_simmenc,695159,3345802,Wald,0.20777051361676513,5.0
greifensee_maur_simmenc,2298695,3345802,undefined,0.6870385635491879,14.0
greifensee_maur_simmenc,14441,3345802,infrastructure,0.004316154990642004,1.0
greifensee_maur_simmenc,23329,3345802,recreation,0.006972618224270295,1.0
greifensee_maur_simmenc,38623,0,Strasse,0.16171758895625787,4.0
greifensee_maur_simmenc,2043,0,length,0.16973552058921995,4.0
greifensee_maur_simmenc,0,0,Stadtzentr,0.0,0.0
greifensee_maur_simmenc,0,0,Reben,0.0,0.0
greifensee_uster_fischerb_-2,432,0,dist,0.28857715430861725,6.0
greifensee_uster_fischerb_-2,1161084,3177353,Siedl,0.3654249307521072,8.0
greifensee_uster_fischerb_-2,466858,3177353,Wald,0.14693299737234106,3.0
greifensee_uster_fischerb_-2,1549411,3177353,undefined,0.48764207187555175,10.0
greifensee_uster_fischerb_-2,59490,3177353,infrastructure,0.018723132116576283,1.0
greifensee_uster_fischerb_-2,42225,3177353,recreation,0.013289363819506362,1.0
greifensee_uster_fischerb_-2,54505,0,Strasse,0.2514621204843786,6.0
greifensee_uster_fischerb_-2,2968,0,length,0.2471543354536324,5.0
greifensee_uster_fischerb_-2,0,0,Stadtzentr,0.0,0.0
greifensee_uster_fischerb_-2,0,0,Reben,0.0,0.0
greifensee_uster_fischerb_-2,0,0,Obstanlage,0.0,0.0
greifensee_uster_fischerb_1,144,0,dist,0.09619238476953908,2.0
greifensee_uster_fischerb_1,1154585,3275516,Siedl,0.352489500890852,8.0
greifensee_uster_fischerb_1,467399,3275516,Wald,0.14269476931268235,3.0
greifensee_uster_fischerb_1,1642790,3275516,undefined,0.5015362465028411,11.0
greifensee_uster_fischerb_1,74210,3275516,infrastructure,0.02265597237198658,1.0
greifensee_uster_fischerb_1,42225,3275516,recreation,0.012891098684909492,1.0
greifensee_uster_fischerb_1,50482,0,Strasse,0.2287293254750832,5.0
greifensee_uster_fischerb_1,2704,0,length,0.22505858721124875,5.0
greifensee_uster_fischerb_1,0,0,Stadtzentr,0.0,0.0
